word,value
depression,13.31664396610112
anxiety,5.715284205808782
and,3.719885257382063
life,3.57787856524859
myself,3.4395509494576912
me,3.2946754336535307
anymore,2.9372305796997082
feel,2.7836986905838272
if,2.7166378336341284
anyone,2.6988308041389026
