word,value
sleep,-0.8888810492278751
work,-0.6045683097391172
today,-0.5710621840001926
got,-0.5398236309499289
find,-0.47470708239770526
ha,-0.387235071446335
go,-0.31210434368337225
well,-0.2814184405448212
see,-0.20550893673553597
again,-0.20036981992529718
